44,Saints Row,2022,An international private military corporation based in Santo Ileso that provides security for the city.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,Marvel's Avengers,2020,A catastrophic accident results in massive devastation. Blamed for the tragedy  the Avengers disband. Five years later  with all super heroes outlawed and the world in peril  the only hope is to reassemble Earth's Mightiest Heroes.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
46,Assassin's Creed: Odyssey,2018,Set in 431 BC during the Pelopenesian War  play as either a male or female mercenary as you embark on your own epic odyssey to become a legendary Spartan hero in a world where every choice matters.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
47,Far Cry 5,2018,A deputy is sent to the town of Hope County to arrest Joseph Seed  a corrupt evangelical religious leader who rules the town with the help of his disturbed followers.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Resident Evil Village,2021,Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,L.A. Noire,2011,Cole Phelps  a war hero and rookie cop  moves up the ranks and solves dark cases in 1940s Los Angeles.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Fortnite,2017,A cooperative shooter-survival game for up to four players to fight off zombie-like husks  defend objects with fortifications you can build  and a battle royale mode where up to 100 players fight to be the last person standing.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,The Dark Pictures: House of Ashes,2021,A group of American marines comes across an underground nest of pure  ancient evil while trekking through the Arabian desert.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Mortal Kombat 11,2019,When a time lord starts merging past with the present  versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
53,Batman: Arkham Asylum,2009,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Lego Star Wars: The Skywalker Saga,2022,Play through all nine Star Wars films in a LEGO Game of epic proportions.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Assassin's Creed IV: Black Flag,2013,A video game where you play as sailor  privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,Uncharted: The Lost Legacy,2017,Chloe returns in The Lost Legacy on the hunt for an ancient Indian artifact  the fabled Tusk of Ganesh. To help uncover the Tusk and keep it out of the hands of a ruthless warmonger  she enlists the help of mercenary Nadine Ross.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57,Injustice 2,2017,Following the end of Superman's totalitarian reign over the Earth  Batman and his allies attempt to piece the world back together only to be faced with a new threat that will cause them to do the unthinkable.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
58,Predator: Hunting Grounds,2020,Survive the Predator's hunt or hunt down a fire-team.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Uncharted 3: Drake's Deception,2011,Treasure hunter Nathan Drake embarks on a quest in search of the Atlantis of the Sands while battling an ancient  sinister organization.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,Mass Effect,2007,In a technologically advanced future  an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Assassin's Creed II,2009,Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze  who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
62,Mass Effect 2,2010,After being revived from death and having to join a pro-human organization without a choice  Commander Shepard must assemble a team  battle a new threat  and make tough choices in order to save the galaxy from total annihilation once more.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,Metal Gear Solid V: The Phantom Pain,2015,After awakening from a nine year coma  Big Boss forms a new mercenary group called  Diamond Dogs  and teams up with his former rival  Ocelot  to track down the men responsible for the destruction of MSF.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,Apex Legends,2019,Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
65,Forspoken,2023,A young woman named Frey Holland awakens in the land of Athia and must embark on an adventure and endure treacherous trials to uncover the mystery the land hides.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,Tomb Raider,2013,Armed with only the raw instincts and physical ability  experience Lara Croft's intense origin story from a young woman to a hardened survivor.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
67,Ghost Recon: Wildlands,2017,"Bolivia 2019  the Santa Blanca Cartel has gained too much power. ""The Ghosts"" are sent in to get rid of them.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Dying Light 2: Stay Human,2022,Fifteen years after the virus in Harran  the infected world is plunged into a modern dark age  where players deal with bandits and factions during the day and the infected at night.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Kingdom Hearts III,2019,"Believing light and darkness must remain in balance  Master Xehanort seeks to spark war against the ""tyranny of light"" to restore equilibrium.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
